"Source","Line","Link","Context"
"AGENTS.md","228","link.md","| **L3** | `[[wiki链接]]` 和 `[md](link.md)` 目标存在性；循环引用 >10 跳报 info | 忽略外部 URL |"
".claude\skills\json-canvas\SKILL.md","239","references/EXAMPLES.md","See [references/EXAMPLES.md](references/EXAMPLES.md) for full canvas examples in"
".claude\skills\kos-link\SKILL.md","35","link.md","| `[md](link.md)` 目标存在 | 不通过则报 broken |"
".codex\skills\json-canvas\SKILL.md","239","references/EXAMPLES.md","See [references/EXAMPLES.md](references/EXAMPLES.md) for full canvas examples in"
".codex\skills\kos-link\SKILL.md","35","link.md","| `[md](link.md)` 目标存在 | 不通过则报 broken |"
".hermes\plans\2026-06-08_114500-optimize-index-zh-cn.md","5","../1%20Projects/Bug追踪/bugs/BUG-004-_index-zh-cn-dataview无数据.md","**关联 BUG**: [BUG-004](../1%20Projects/Bug追踪/bugs/BUG-004-_index-zh-cn-dataview无数"
".opencode\skills\kos-link\SKILL.md","35","link.md","| `[md](link.md)` 目标存在 | 不通过则报 broken |"
"4 Archives\claude-obsidian\WIKI.md","175","path/to/file.md","- Wikilinks over paths. Use `[[Page Name]]` not `[text](path/to/file.md)`."
"4 Archives\claude-obsidian\WIKI_CN.md","172","path/to/file.md","- 使用 Wikilink 而非路径。使用 `[[页面名称]]` 而非 `[文字](path/to/file.md)`。"
"4 Archives\claude-obsidian\docs\compound-vault-guide.md","287","../wiki/concepts/DragonScale%20Memory.md","- [wiki/concepts/DragonScale Memory.md](../wiki/concepts/DragonScale%20Memory.md"
"4 Archives\claude-obsidian\docs\dragonscale-guide.md","3","../wiki/concepts/DragonScale%20Memory.md","DragonScale Memory is an optional extension for `claude-obsidian`. It adds conse"
"4 Archives\claude-obsidian\docs\dragonscale-guide.md","26","../wiki/concepts/DragonScale%20Memory.md","Use `CHANGELOG.md` for the release trail, [docs/install-guide.md](./install-guid"
"4 Archives\claude-obsidian\docs\audits\v1.8.0-pre-push-audit-2026-05-18.md","6","../../.claude/plans/read-in-full-the-hidden-sun.md","**Methodology:** 10-principle thinking spine (OBSERVE-OBSERVE-LISTEN-THINK-CONNE"
"4 Archives\claude-obsidian\docs\audits\v1.8.0-pre-push-audit-2026-05-18.md","256","../../.claude/plans/read-in-full-the-hidden-sun.md","Per [plan §14](../../.claude/plans/read-in-full-the-hidden-sun.md), pre-executio"
"4 Archives\claude-obsidian\docs\audits\v1.8.0-pre-push-audit-2026-05-18.md","296","../../.claude/plans/read-in-full-the-hidden-sun.md","Per [plan §8](../../.claude/plans/read-in-full-the-hidden-sun.md):"
"4 Archives\claude-obsidian\skills\obsidian-markdown\SKILL.md","229","path/to/note.md","- Do not use `[link text](path/to/note.md)` for internal links: use `[[Note Name"
"4 Archives\claude-obsidian\skills\obsidian-markdown\SKILL_CN.md","201","path/to/note.md","- 不要使用 `[链接文本](path/to/note.md)` 用于内部链接：使用 `[[笔记名称]]` 代替。"
"4 Archives\claude-obsidian\skills\wiki-retrieve\SKILL.md","209","../../wiki/concepts/DragonScale%20Memory.md","- DragonScale Memory: [`wiki/concepts/DragonScale Memory.md`](../../wiki/concept"
"4 Archives\design\KOS-Link原型设计.md","99","link.md","扫描所有 `[[wiki链接]]` 和 `[markdown](link.md)`，检查目标文件是否存在。"
"4 Archives\prototype-quarantine-zone\README.md","39","./gate-spec.md","- [门禁规范](./gate-spec.md) — 四阶门禁的完整定义与判定规则"
"4 Archives\prototype-quarantine-zone\README.md","40","./state-machine.md","- [状态机规范](./state-machine.md) — quarantine.status 流转图与转换规则"
"4 Archives\prototype-quarantine-zone\README.md","41","./source-enum.md","- [来源溯源枚举](./source-enum.md) — source_type 枚举表"
"4 Archives\prototype-quarantine-zone\README.md","42","./triage-integration.md","- [与 Triage 融合方案](./triage-integration.md) — 隔离区嵌入 Triage 引擎的方案"
"4 Archives\prototype-quarantine-zone\README.md","43","./test-plan.md","- [测试方案](./test-plan.md) — 7 个验证场景 + 验收标准"
"en\_meta\design\v1.1-roadmap.md","12","/_meta/架构说明书.md","> - [KOS_LLM-Wiki Integrated System v2.0](/_meta/架构说明书.md)"
"en\_meta\design\v1.1-roadmap.md","13","/_meta/assets/c4-context.md","> - [C4 Model Diagrams](/_meta/assets/c4-context.md)"
"zh-tw\_meta\design\v1.1規劃.md","12","/_meta/架構說明書.md","> - [KOS_LLM-Wiki 整合系統 v2.0](/_meta/架構說明書.md)"
"zh-tw\_meta\design\v1.1規劃.md","13","/_meta/assets/c4-context.md","> - [C4 模型範例圖](/_meta/assets/c4-context.md)"
